example_id                                                              | status | run_time        |
----------------------------------------------------------------------- | ------ | --------------- |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:1:1]   | passed | 0.0015 seconds  |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:1:2]   | passed | 0.00187 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:2:1]   | passed | 0.00165 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:3:1]   | passed | 0.00162 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:3:2]   | passed | 0.00175 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:4:1:1] | passed | 0.00284 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:4:2:1] | passed | 0.00236 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:4:3:1] | passed | 0.00259 seconds |
./spec/rubocop/cop/spec_structure/source_file_exists_spec.rb[1:1:5:1]   | passed | 0.00395 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:1:1]     | passed | 0.00127 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:1:2]     | passed | 0.00141 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:2:1]     | passed | 0.00335 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:3:1]     | passed | 0.00298 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:4:1:1]   | passed | 0.00274 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:4:2:1]   | passed | 0.00513 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:4:3:1]   | passed | 0.00466 seconds |
./spec/rubocop/cop/spec_structure/spec_file_exists_spec.rb[1:1:5:1]     | passed | 0.01456 seconds |
./spec/rubocop/spec_structure/version_spec.rb[1:1:1]                    | passed | 0.00167 seconds |
./spec/rubocop/spec_structure/version_spec.rb[1:1:2]                    | passed | 0.00223 seconds |
